Designator,Mid X,Mid Y,Rotation,Layer
C1,66.755,-69.9677,0,top
C2,76,-70,0,top
C3,61.23,-69.9677,0,top
J1,84.27,-54.83,0,top
J10,79.892857,-107.75,0,top
J11,150.857143,-107.75,0,top
J12,167.25,-107.75,0,top
J13,122.571429,-107.75,0,top
J14,135.964286,-107.75,0,top
J15,150.065,-84.25,270,top
J16,96.065,-84.375,270,top
J17,123.29,-84.25,270,top
J18,147.415,-53.66,270,top
J19,120.362578,-78.46,90,top
J2,106.23,-59.91,0,top
J20,120.362578,-65.76,90,top
J21,120.59,-59.880001,90,top
J22,120.59,-47.260001,90,top
J24,124.375,-42.310001,90,top
J25,94.285714,-107.75,0,top
J26,108.678571,-107.75,0,top
J27,165.664762,-67.75,0,top
J28,178.364762,-67.75,0,top
J29,157.375,-42.34,90,top
J5,76.34,-66.6025,270,top
J6,63.92,-66.4677,270,top
J7,74.8325,-57.995,270,top
J8,69.5,-84.375,270,top
J9,65.5,-107.75,0,top
SW1,54.15,-67.925,270,top
SW2,54.15,-58.425,270,top
